"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\CompassConnector\CompassConnector.cpp", "C++", -221, -20, -28, -269
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\CompassConnector\CompassConnector.h", "C++", -62, -2, -22, -86
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\ConnectorManager\CompassConnector\CompassConnector.cpp", "C++", 244, 12, 31, 287
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\ConnectorManager\CompassConnector\CompassConnector.h", "C++", 62, 2, 22, 86
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\ConnectorManager\ConnectorManager.h", "C++", -1, 0, 0, -1
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\LedManager.cpp", "C++", 206, 82, 25, 313
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\Panel\Diode\Diode.cpp", "C++", 132, 7, 22, 161
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\Panel\Diode\Diode.h", "C++", 33, 5, 8, 46
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\Panel\Panel.cpp", "C++", 297, 10, 48, 355
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\Panel\Panel.h", "C++", 61, 8, 11, 80
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\effectProcessor\effectProcessor.cpp", "C++", 966, 3, 200, 1169
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\effectProcessor\effectProcessor.h", "C++", 95, 0, 16, 111
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\LedManager\ledManager.h", "C++", 45, 6, 9, 60
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\Trinity.cpp", "C++", 117, 4, 25, 146
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\Trinity\Trinity.h", "C++", 39, 2, 12, 53
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\main.cpp", "C++", 133, 7, 36, 176
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\pipePieces.h", "C++", 4, 9, 4, 17
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF-POC CompassDiscovery\src\setup.h", "C++", 4, 15, -6, 13
"Total", "-", 2154, 150, 413, 2717
